Ensembl Gene ID	Ensembl Transcript ID	Ensembl Protein ID	Start_bp	End_bp	Strand	Transcript_Start_bp	Transcript_End_bp	Transcription Start Site (TSS)	GeneType	alignID	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID	WikiGene Name	AssociatedGeneName	UCSC_id	Complex
ENSG00000198938	ENST00000362079	ENSP00000354982	9207	9990	1	9207	9990	9207	protein_coding	ENST00000362079.2	chrM	+	9206	9990	9206	9990	1	"9206,"	"9990,"	Q7GIM7	COX3	MT-CO3	uc064xpg.1	IV
ENSG00000209082	ENST00000386347		3230	3304	1	3230	3304	3230	Mt_tRNA	ENST00000386347.1	chrM	+	3229	3304	3229	3229	1	"3229,"	"3304,"			MT-TL1	uc064xot.1	
ENSG00000210049	ENST00000387314		577	647	1	577	647	577	Mt_tRNA	ENST00000387314.1	chrM	+	576	647	576	576	1	"576,"	"647,"			MT-TF	uc064xos.1	
ENSG00000210077	ENST00000387342		1602	1670	1	1602	1670	1602	Mt_tRNA	ENST00000387342.1	chrM	+	1601	1670	1601	1601	1	"1601,"	"1670,"			MT-TV	uc004cor.2	
ENSG00000210082	ENST00000387347		1671	3229	1	1671	3229	1671	Mt_rRNA	ENST00000387347.2	chrM	+	1670	3229	1670	1670	1	"1670,"	"3229,"		RNR2	MT-RNR2	uc033dmk.2	
ENSG00000210100	ENST00000387365		4263	4331	1	4263	4331	4263	Mt_tRNA	ENST00000387365.1	chrM	+	4262	4331	4262	4262	1	"4262,"	"4331,"			MT-TI	uc064xov.1	
ENSG00000210107	ENST00000387372		4329	4400	-1	4329	4400	4400	Mt_tRNA	ENST00000387372.1	chrM	-	4328	4400	4328	4328	1	"4328,"	"4400,"			MT-TQ	uc033dml.1	
ENSG00000210112	ENST00000387377		4402	4469	1	4402	4469	4402	Mt_tRNA	ENST00000387377.1	chrM	+	4401	4469	4401	4401	1	"4401,"	"4469,"			MT-TM	uc064xow.1	
ENSG00000210117	ENST00000387382		5512	5579	1	5512	5579	5512	Mt_tRNA	ENST00000387382.1	chrM	+	5511	5579	5511	5511	1	"5511,"	"5579,"			MT-TW	uc064xoy.1	
ENSG00000210127	ENST00000387392		5587	5655	-1	5587	5655	5655	Mt_tRNA	ENST00000387392.1	chrM	-	5586	5655	5586	5586	1	"5586,"	"5655,"			MT-TA	uc022bqq.2	
ENSG00000210135	ENST00000387400		5657	5729	-1	5657	5729	5729	Mt_tRNA	ENST00000387400.1	chrM	-	5656	5729	5656	5656	1	"5656,"	"5729,"			MT-TN	uc022bqr.2	
ENSG00000210140	ENST00000387405		5761	5826	-1	5761	5826	5826	Mt_tRNA	ENST00000387405.1	chrM	-	5760	5826	5760	5760	1	"5760,"	"5826,"			MT-TC	uc064xoz.1	
ENSG00000210144	ENST00000387409		5826	5891	-1	5826	5891	5891	Mt_tRNA	ENST00000387409.1	chrM	-	5825	5891	5825	5825	1	"5825,"	"5891,"			MT-TY	uc064xpa.1	
ENSG00000210151	ENST00000387416		7446	7514	-1	7446	7514	7514	Mt_tRNA	ENST00000387416.2	chrM	-	7445	7514	7445	7445	1	"7445,"	"7514,"			MT-TS1	uc064xpb.1	
ENSG00000210154	ENST00000387419		7518	7585	1	7518	7585	7518	Mt_tRNA	ENST00000387419.1	chrM	+	7517	7585	7517	7517	1	"7517,"	"7585,"			MT-TD	uc064xpc.1	
ENSG00000210156	ENST00000387421		8295	8364	1	8295	8364	8295	Mt_tRNA	ENST00000387421.1	chrM	+	8294	8364	8294	8294	1	"8294,"	"8364,"			MT-TK	uc011mfi.3	
ENSG00000210164	ENST00000387429		9991	10058	1	9991	10058	9991	Mt_tRNA	ENST00000387429.1	chrM	+	9990	10058	9990	9990	1	"9990,"	"10058,"			MT-TG	uc064xph.1	
ENSG00000210174	ENST00000387439		10405	10469	1	10405	10469	10405	Mt_tRNA	ENST00000387439.1	chrM	+	10404	10469	10404	10404	1	"10404,"	"10469,"			MT-TR	uc064xpi.1	
ENSG00000210176	ENST00000387441		12138	12206	1	12138	12206	12138	Mt_tRNA	ENST00000387441.1	chrM	+	12137	12206	12137	12137	1	"12137,"	"12206,"			MT-TH	uc064xpk.1	
ENSG00000210184	ENST00000387449		12207	12265	1	12207	12265	12207	Mt_tRNA	ENST00000387449.1	chrM	+	12206	12265	12206	12206	1	"12206,"	"12265,"			MT-TS2	uc004cow.3	
ENSG00000210191	ENST00000387456		12266	12336	1	12266	12336	12266	Mt_tRNA	ENST00000387456.1	chrM	+	12265	12336	12265	12265	1	"12265,"	"12336,"			MT-TL2	uc064xpl.1	
ENSG00000210194	ENST00000387459		14674	14742	-1	14674	14742	14742	Mt_tRNA	ENST00000387459.1	chrM	-	14673	14742	14673	14673	1	"14673,"	"14742,"			MT-TE	uc022bqv.3	
ENSG00000210195	ENST00000387460		15888	15953	1	15888	15953	15888	Mt_tRNA	ENST00000387460.2	chrM	+	15887	15953	15887	15887	1	"15887,"	"15953,"			MT-TT	uc064xpn.1	
ENSG00000210196	ENST00000387461		15956	16023	-1	15956	16023	16023	Mt_tRNA	ENST00000387461.2	chrM	-	15955	16023	15955	15955	1	"15955,"	"16023,"			MT-TP	uc022bqx.2	
ENSG00000211459	ENST00000389680		648	1601	1	648	1601	648	Mt_rRNA	ENST00000389680.2	chrM	+	647	1601	647	647	1	"647,"	"1601,"		RNR1	MT-RNR1	uc022bqo.3	
